workerid,trial_type,number,item,slide_number,context,response,language,enjoyment,gender,age,comments,assess,selfreport,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,one_slider_practice,NA,NA,NA,NA,0.15,English,1,Male,29,,No,,3,Windows,1080,1920,Chrome,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,30LSNF239VR6C9I1WSVQZPIB7MWI2V,0,Approved,Sat Jul 07 01:54:35 PDT 2018,Fri Jul 06 09:12:01 PDT 2018,Fri Jul 06 09:14:35 PDT 2018,Sat Jul 07 01:54:46 PDT 2018,,,,,[],"""fourwithout""",2.32835
0,one_slider_practice,NA,NA,NA,NA,0.1,English,1,Male,29,,No,,3,Windows,1080,1920,Chrome,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,30LSNF239VR6C9I1WSVQZPIB7MWI2V,0,Approved,Sat Jul 07 01:54:35 PDT 2018,Fri Jul 06 09:12:01 PDT 2018,Fri Jul 06 09:14:35 PDT 2018,Sat Jul 07 01:54:46 PDT 2018,,,,,[],"""fourwithout""",2.32835
0,one_slider,two,frog,6,with,0.14,English,1,Male,29,,No,,3,Windows,1080,1920,Chrome,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,30LSNF239VR6C9I1WSVQZPIB7MWI2V,0,Approved,Sat Jul 07 01:54:35 PDT 2018,Fri Jul 06 09:12:01 PDT 2018,Fri Jul 06 09:14:35 PDT 2018,Sat Jul 07 01:54:46 PDT 2018,,,,,[],"""fourwithout""",2.32835
0,one_slider,two,control1,7,without,0.14,English,1,Male,29,,No,,3,Windows,1080,1920,Chrome,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,30LSNF239VR6C9I1WSVQZPIB7MWI2V,0,Approved,Sat Jul 07 01:54:35 PDT 2018,Fri Jul 06 09:12:01 PDT 2018,Fri Jul 06 09:14:35 PDT 2018,Sat Jul 07 01:54:46 PDT 2018,,,,,[],"""fourwithout""",2.32835
0,one_slider,four,butterflies,8,without,0.82,English,1,Male,29,,No,,3,Windows,1080,1920,Chrome,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,30LSNF239VR6C9I1WSVQZPIB7MWI2V,0,Approved,Sat Jul 07 01:54:35 PDT 2018,Fri Jul 06 09:12:01 PDT 2018,Fri Jul 06 09:14:35 PDT 2018,Sat Jul 07 01:54:46 PDT 2018,,,,,[],"""fourwithout""",2.32835
0,one_slider,four,control2,9,without,0.8,English,1,Male,29,,No,,3,Windows,1080,1920,Chrome,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,30LSNF239VR6C9I1WSVQZPIB7MWI2V,0,Approved,Sat Jul 07 01:54:35 PDT 2018,Fri Jul 06 09:12:01 PDT 2018,Fri Jul 06 09:14:35 PDT 2018,Sat Jul 07 01:54:46 PDT 2018,,,,,[],"""fourwithout""",2.32835
0,one_slider,four,lions,10,with,0.09,English,1,Male,29,,No,,3,Windows,1080,1920,Chrome,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,30LSNF239VR6C9I1WSVQZPIB7MWI2V,0,Approved,Sat Jul 07 01:54:35 PDT 2018,Fri Jul 06 09:12:01 PDT 2018,Fri Jul 06 09:14:35 PDT 2018,Sat Jul 07 01:54:46 PDT 2018,,,,,[],"""fourwithout""",2.32835
0,one_slider,four,control3,11,with,0.15,English,1,Male,29,,No,,3,Windows,1080,1920,Chrome,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,30LSNF239VR6C9I1WSVQZPIB7MWI2V,0,Approved,Sat Jul 07 01:54:35 PDT 2018,Fri Jul 06 09:12:01 PDT 2018,Fri Jul 06 09:14:35 PDT 2018,Sat Jul 07 01:54:46 PDT 2018,,,,,[],"""fourwithout""",2.32835
0,one_slider,four,dinosaurs,12,without,0.91,English,1,Male,29,,No,,3,Windows,1080,1920,Chrome,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,30LSNF239VR6C9I1WSVQZPIB7MWI2V,0,Approved,Sat Jul 07 01:54:35 PDT 2018,Fri Jul 06 09:12:01 PDT 2018,Fri Jul 06 09:14:35 PDT 2018,Sat Jul 07 01:54:46 PDT 2018,,,,,[],"""fourwithout""",2.32835
1,one_slider_practice,NA,NA,NA,NA,0.92,English,2,Female,63,I enjoyed this HIT.,Yes,"I would assume that the experiment was about reading comprehension, although of course I could be wrong.",2,Windows,1080,1920,Firefox,37J05LC5AXEMNA2UKXV5IQSRL46DJG,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:11:55 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:11:55 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXEMNA2UKXV5IQSRL46DJG,3MB8LZR5BGP3JQUX61Y7R1WX5QCKLX,1,Approved,Sat Jul 07 01:56:12 PDT 2018,Fri Jul 06 09:12:08 PDT 2018,Fri Jul 06 09:16:12 PDT 2018,Sat Jul 07 01:56:46 PDT 2018,,,,,[],"""twowith""",4.025633333333333
