workerid,trial_type,justification,number,item,slide_number,context,response,language,enjoyment,gender,age,comments,assess,selfreport,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.justification,Answer.time_in_minutes
0,one_slider_practice,he bought both cars for 2 pennies each,NA,NA,NA,NA,1,english,1,Male,36,no comments,Yes,memory recall,3,Windows,1080,1920,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3KIBXJ1WD6QBPBXUJTEZJI0ROBFOK0,0,Submitted,Wed Jan 31 03:24:00 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:44:00 PST 2018,,,,,,[],"""fourwith""",undefined,6.895783333333333
0,one_slider_practice,the 3rd dog did not jump on the table,NA,NA,NA,NA,0,english,1,Male,36,no comments,Yes,memory recall,3,Windows,1080,1920,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3KIBXJ1WD6QBPBXUJTEZJI0ROBFOK0,0,Submitted,Wed Jan 31 03:24:00 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:44:00 PST 2018,,,,,,[],"""fourwith""",undefined,6.895783333333333
0,one_slider,all frogs jumped the fence but the two little frogs didn&quotechart jump the rock,four,frog,6,with,0.99,english,1,Male,36,no comments,Yes,memory recall,3,Windows,1080,1920,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3KIBXJ1WD6QBPBXUJTEZJI0ROBFOK0,0,Submitted,Wed Jan 31 03:24:00 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:44:00 PST 2018,,,,,,[],"""fourwith""",undefined,6.895783333333333
0,one_slider,there were only two hippos that drank milk,four,control1,7,without,0.01,english,1,Male,36,no comments,Yes,memory recall,3,Windows,1080,1920,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3KIBXJ1WD6QBPBXUJTEZJI0ROBFOK0,0,Submitted,Wed Jan 31 03:24:00 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:44:00 PST 2018,,,,,,[],"""fourwith""",undefined,6.895783333333333
0,one_slider,only one of the butterflies went to the city after the forest,two,butterflies,8,with,0.92,english,1,Male,36,no comments,Yes,memory recall,3,Windows,1080,1920,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3KIBXJ1WD6QBPBXUJTEZJI0ROBFOK0,0,Submitted,Wed Jan 31 03:24:00 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:44:00 PST 2018,,,,,,[],"""fourwith""",undefined,6.895783333333333
0,one_slider,the second dog didn&quotechart roll because he didn&quotechart want his ball to fall off the table,two,control2,9,with,1,english,1,Male,36,no comments,Yes,memory recall,3,Windows,1080,1920,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3KIBXJ1WD6QBPBXUJTEZJI0ROBFOK0,0,Submitted,Wed Jan 31 03:24:00 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:44:00 PST 2018,,,,,,[],"""fourwith""",undefined,6.895783333333333
0,one_slider,each lion bought an egg but only two bought a cookie,four,lions,10,with,1,english,1,Male,36,no comments,Yes,memory recall,3,Windows,1080,1920,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3KIBXJ1WD6QBPBXUJTEZJI0ROBFOK0,0,Submitted,Wed Jan 31 03:24:00 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:44:00 PST 2018,,,,,,[],"""fourwith""",undefined,6.895783333333333
0,one_slider,only two of the lizards jumped on the book,four,control3,11,with,0,english,1,Male,36,no comments,Yes,memory recall,3,Windows,1080,1920,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3KIBXJ1WD6QBPBXUJTEZJI0ROBFOK0,0,Submitted,Wed Jan 31 03:24:00 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:44:00 PST 2018,,,,,,[],"""fourwith""",undefined,6.895783333333333
0,one_slider,two dinosaurs were too full after eating fish to eat bugs as well,four,dinosaurs,12,with,1,english,1,Male,36,no comments,Yes,memory recall,3,Windows,1080,1920,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3KIBXJ1WD6QBPBXUJTEZJI0ROBFOK0,0,Submitted,Wed Jan 31 03:24:00 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:44:00 PST 2018,,,,,,[],"""fourwith""",undefined,6.895783333333333
1,one_slider_practice,"He purchased a silver and a yellow car, so he bought 2 cars.",NA,NA,NA,NA,0.98,English,2,Female,47,,Yes,interpreting,3,Windows,768,1366,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3PXX5PX6LYULU4ZZ3XWOJKXWC02BA4,1,Submitted,Wed Jan 31 03:27:08 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:47:08 PST 2018,,,,,,[],"""twowithout""",undefined,9.752
1,one_slider_practice,The third dog did not jump on the table because he said he was too small.,NA,NA,NA,NA,0.01,English,2,Female,47,,Yes,interpreting,3,Windows,768,1366,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3PXX5PX6LYULU4ZZ3XWOJKXWC02BA4,1,Submitted,Wed Jan 31 03:27:08 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:47:08 PST 2018,,,,,,[],"""twowithout""",undefined,9.752
1,one_slider,The last 2 frogs decided that the rock was too big to jump over.,four,frog,6,without,0.98,English,2,Female,47,,Yes,interpreting,3,Windows,768,1366,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3PXX5PX6LYULU4ZZ3XWOJKXWC02BA4,1,Submitted,Wed Jan 31 03:27:08 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:47:08 PST 2018,,,,,,[],"""twowithout""",undefined,9.752
1,one_slider,There were only 2 hippos and both decided to drink the milk.,four,control1,7,without,0.02,English,2,Female,47,,Yes,interpreting,3,Windows,768,1366,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3PXX5PX6LYULU4ZZ3XWOJKXWC02BA4,1,Submitted,Wed Jan 31 03:27:08 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:47:08 PST 2018,,,,,,[],"""twowithout""",undefined,9.752
1,one_slider,Two butterflies decided to stay at home.,four,butterflies,8,without,0.98,English,2,Female,47,,Yes,interpreting,3,Windows,768,1366,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3PXX5PX6LYULU4ZZ3XWOJKXWC02BA4,1,Submitted,Wed Jan 31 03:27:08 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:47:08 PST 2018,,,,,,[],"""twowithout""",undefined,9.752
1,one_slider,The second dog decided not to roll the ball for fear it would roll off the table.,two,control2,9,without,0.99,English,2,Female,47,,Yes,interpreting,3,Windows,768,1366,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3PXX5PX6LYULU4ZZ3XWOJKXWC02BA4,1,Submitted,Wed Jan 31 03:27:08 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:47:08 PST 2018,,,,,,[],"""twowithout""",undefined,9.752
1,one_slider,Only 1 lion did not buy a cookie because he didn&quotechart like them.,two,lions,10,without,0.02,English,2,Female,47,,Yes,interpreting,3,Windows,768,1366,Chrome,3RBI0I35XEYE07VWD8QWF4L332C3YY,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:36:51 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:36:51 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3RBI0I35XEYE07VWD8QWF4L332C3YY,3PXX5PX6LYULU4ZZ3XWOJKXWC02BA4,1,Submitted,Wed Jan 31 03:27:08 PST 2018,Tue Jan 30 10:36:54 PST 2018,Tue Jan 30 10:47:08 PST 2018,,,,,,[],"""twowithout""",undefined,9.752
